,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
68,Brandon,7.41,55.59,7.41,4.45,5.19,3.38,1.76,1.52,1.34,1.63,2.95,2.6,9.22,8.15,11.12,1.85,1.31,1.67,2.59,1.48,1.11,1.67,1.59,8.89,2.64,3.25,13.71,1.19,62.63,2.78,1.19,23.2,1.4,20011.04,19189.0,112.41,0.28,59.04,42.0,,8.15,526.77,12398.94,34.09,30.8,65.96,29.65,629.98,1184.91,2704.7,2876.9,,,1817.3,4.5,0,49.8483,-99.95,Manitoba,48859.0
69,Rimouski,14.88,59.29,6.41,3.71,3.71,2.22,1.48,1.12,1.54,2.22,3.28,2.22,11.9,8.89,13.75,2.87,0.52,2.73,3.4,2.43,1.57,1.7,0.95,11.12,1.54,2.54,10.38,,44.47,2.59,1.3,28.9,1.44,18528.74,16075.54,96.59,0.33,50.98,20.75,,10.38,662.54,6333.84,29.65,32.7,59.29,101.91,478.04,444.69,963.49,741.15,,,,5.06,0,48.45,-68.53,Quebec,48664.0
70,Cornwall,11.86,63.0,10.01,4.45,5.93,2.68,1.73,1.54,2.09,2.35,1.68,3.12,3.7,7.02,10.02,5.28,1.82,2.75,4.05,2.09,2.78,1.97,0.77,11.02,1.48,4.11,10.91,2.59,58.9,2.96,1.11,23.94,1.53,20011.04,14822.99,61.57,0.19,80.79,28.16,14.82,10.01,518.8,,35.2,22.23,85.23,111.17,802.91,667.03,1267.74,1408.18,2335.02,2335.02,,6.55,0,45.0275,-74.74,Ontario,46589.0
71,Victoriaville,,,7.41,7.41,8.89,3.71,1.48,1.48,1.48,2.04,1.88,2.22,,3.71,,1.11,1.07,2.22,2.22,0.74,0.67,0.93,1.11,11.12,3.71,1.48,5.93,,,2.59,1.48,44.47,1.39,15934.72,16800.01,259.4,0.22,48.17,18.53,,6.67,715.21,,59.29,44.47,89.43,92.64,333.52,296.46,518.8,,,,1593.47,2.2,0,46.05,-71.9667,Quebec,45309.0
72,Vernon,13.34,55.59,7.41,4.45,5.74,3.06,1.64,1.33,2.23,1.8,4.62,2.56,9.08,8.52,11.3,3.15,1.32,2.99,2.84,1.59,1.19,1.67,1.48,11.12,2.6,5.93,11.84,1.96,40.76,3.19,1.55,33.97,1.56,16674.02,21354.38,142.47,0.27,69.35,36.69,5.56,8.52,704.09,,47.43,38.91,70.29,98.82,963.39,857.62,1717.0,1741.7,2792.18,2393.3,2816.37,6.25,1,50.267,-119.272,British Columbia,44600.0
73,Charlottetown,18.53,64.85,7.41,4.45,4.82,2.89,1.72,1.58,2.11,2.28,3.84,3.34,10.0,11.07,13.0,6.65,1.43,6.91,5.49,3.02,3.55,2.96,1.49,12.6,2.41,2.82,13.71,1.48,44.47,5.19,2.22,22.23,1.39,31498.86,22206.82,149.83,0.22,75.7,35.2,9.39,11.12,685.56,22234.49,51.88,27.79,61.14,83.38,925.51,789.85,1352.6,1227.53,2393.3,1563.62,1704.64,4.14,1,46.2403,-63.1347,Prince Edward Island,42602.0
74,Mascouche,12.23,76.71,7.41,4.08,6.67,2.41,1.48,1.28,1.48,1.48,3.71,2.22,19.14,6.67,18.26,1.48,1.48,1.48,2.96,2.96,1.48,2.22,1.53,11.86,2.52,1.48,8.15,2.41,86.34,2.59,1.48,44.47,1.52,15934.72,16800.01,69.48,0.04,45.4,15.32,18.53,8.89,715.21,5929.2,60.22,37.06,65.78,95.42,566.98,518.8,,,2223.45,2223.45,,2.2,0,45.75,-73.6,Quebec,42491.0
75,Salaberry-de-Valleyfield,13.34,66.7,8.15,4.45,4.82,3.39,1.59,1.46,2.59,2.12,3.28,2.67,8.77,9.42,10.38,3.45,1.12,2.43,2.22,1.59,1.75,1.79,2.96,11.12,2.51,1.48,13.34,,,3.15,1.24,31.5,1.4,17846.89,17046.44,115.62,0.41,51.14,,,8.89,978.32,,46.11,20.75,65.86,84.0,,,1037.61,1037.61,,,,7.45,0,45.25,-74.13,Quebec,42410.0
76,Rouyn-Noranda,9.26,59.29,8.52,3.89,4.45,3.09,2.22,1.36,1.76,2.64,3.31,2.59,11.72,8.95,15.96,4.39,1.45,4.0,4.08,2.75,2.0,1.73,1.24,11.12,2.97,2.87,8.89,2.22,25.94,2.96,3.71,,1.57,,17046.44,96.35,0.74,63.0,34.59,0.0,8.89,133.41,,36.81,25.94,93.88,86.96,629.98,518.8,1037.61,864.67,,,,2.95,0,48.2333,-79.0167,Quebec,42334.0
77,Timmins,14.82,59.29,8.89,3.34,4.45,2.78,1.91,1.05,1.99,2.04,2.48,2.49,5.48,9.75,12.85,2.09,1.63,3.14,3.94,1.7,4.01,1.58,1.73,11.12,1.96,2.59,8.89,2.41,59.29,3.45,1.07,31.5,1.52,22605.07,15260.64,144.66,0.56,66.81,80.34,6.18,8.89,815.26,8893.8,44.34,37.06,87.58,108.16,778.21,654.68,1334.07,1111.72,2393.3,2792.18,2964.6,7.27,0,48.4667,-81.3333,Ontario,41788.0
